Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Puntuacion(exceptional),Puntuacion(recommended),Puntuacion(meh),Puntuacion(skip)
XOne,2015,Misc,0.49,0.22,0.01,0.07,0.79,3.71,18.86,49.14,24.0,8.0
PS2,2007,Sports,0.65,0.03,0.0,0.11,0.79,2.75,12.5,46.22131578947368,62.5,25.0
X360,2007,Sports,0.65,0.0,0.0,0.05,0.7,2.75,12.5,43.49564102564102,62.5,25.0
PS3,2007,Sports,0.35,0.0,0.0,0.03,0.38,2.75,12.5,43.10802631578947,62.5,25.0
XB,2007,Sports,0.06,0.02,0.0,0.0,0.08,2.75,12.5,42.976470588235294,62.5,25.0
DS,2010,Role-Playing,0.51,0.09,0.13,0.05,0.78,4.24,42.86,38.1,19.05,5.988
DS,2007,Action,0.71,0.01,0.0,0.06,0.78,4.24,28.57,66.67,4.76,13.104897959183674
PS2,2006,Sports,0.65,0.02,0.0,0.11,0.78,3.0,19.305277777777775,50.0,25.0,25.0
X360,2006,Sports,0.53,0.0,0.0,0.04,0.58,3.0,16.787567567567567,50.0,25.0,25.0
PS3,2006,Sports,0.3,0.04,0.0,0.03,0.37,3.0,15.696470588235297,50.0,25.0,25.0
XB,2006,Sports,0.02,0.01,0.0,0.0,0.03,3.0,25.22684210526316,50.0,25.0,25.0
X360,2013,Shooter,0.36,0.34,0.0,0.07,0.77,2.74,5.61,22.43,42.06,29.91
PS3,2013,Shooter,0.2,0.29,0.0,0.11,0.6,2.74,5.61,22.43,42.06,29.91
PC,2013,Shooter,0.1,0.06,0.0,0.02,0.18,2.74,5.61,22.43,42.06,29.91
Wii,2009,Action,0.45,0.23,0.02,0.07,0.77,4.17,30.0,56.67,13.33,11.28574074074074
DS,2009,Puzzle,0.41,0.3,0.0,0.07,0.77,3.4,22.281666666666666,60.0,30.0,10.0
N64,2001,Platform,0.53,0.22,0.0,0.02,0.77,4.24,42.25,50.7,1.41,5.63
PS3,2009,Fighting,0.37,0.19,0.11,0.1,0.77,3.27,14.682727272727272,56.1,29.27,14.63
X360,2009,Fighting,0.36,0.08,0.02,0.04,0.51,3.27,15.110500000000002,56.1,29.27,14.63
PS2,2005,Action,0.64,0.02,0.0,0.1,0.76,3.81,18.75,56.25,18.75,6.25
XB,2005,Action,0.54,0.11,0.0,0.03,0.68,3.81,18.75,56.25,18.75,6.25
DS,2006,Shooter,0.57,0.04,0.11,0.06,0.76,3.67,8.89,57.78,28.89,4.44
WiiU,2014,Action,0.32,0.28,0.1,0.06,0.76,4.38,61.04,25.97,7.79,5.19
PS2,2005,Action,0.57,0.02,0.07,0.09,0.76,3.73,8.79,63.74,23.08,4.4
XB,2005,Action,0.21,0.06,0.0,0.01,0.28,3.73,8.79,63.74,23.08,4.4
GC,2005,Action,0.13,0.03,0.0,0.0,0.17,3.73,8.79,63.74,23.08,4.4
Wii,2009,Action,0.28,0.39,0.0,0.08,0.75,3.42,6.55,48.81,34.52,10.12
PS2,2009,Action,0.13,0.07,0.0,0.44,0.64,3.42,6.55,48.81,34.52,10.12
DS,2009,Action,0.2,0.34,0.0,0.07,0.61,3.42,6.55,48.81,34.52,10.12
PSP,2009,Action,0.18,0.2,0.0,0.12,0.5,3.42,6.55,48.81,34.52,10.12
PS3,2009,Action,0.15,0.12,0.0,0.05,0.33,3.42,6.55,48.81,34.52,10.12
X360,2009,Action,0.17,0.11,0.0,0.03,0.31,3.42,6.55,48.81,34.52,10.12
PC,2009,Action,0.0,0.03,0.0,0.0,0.03,3.42,6.55,48.81,34.52,10.12
3DS,2013,Puzzle,0.0,0.48,0.25,0.03,0.75,4.44,52.0,40.0,8.0,6.25
PS4,2016,Shooter,0.34,0.25,0.05,0.12,0.75,4.31,45.27,45.16,7.11,2.46
XOne,2016,Shooter,0.37,0.15,0.0,0.05,0.57,4.31,45.27,45.16,7.11,2.46
PC,2016,Shooter,0.03,0.04,0.0,0.01,0.08,4.31,45.27,45.16,7.11,2.46
PS2,2004,Action,0.37,0.29,0.0,0.1,0.75,3.38,2.7,54.05,32.43,10.81
GBA,2004,Action,0.49,0.18,0.0,0.01,0.68,3.38,2.7,54.05,32.43,10.81
GC,2004,Action,0.23,0.06,0.0,0.01,0.3,3.38,2.7,54.05,32.43,10.81
XB,2004,Action,0.15,0.04,0.0,0.01,0.2,3.38,2.7,54.05,32.43,10.81
PS2,2001,Shooter,0.3,0.24,0.13,0.08,0.75,3.86,14.29,64.29,17.86,3.57
PS4,2014,Sports,0.09,0.45,0.11,0.1,0.75,3.45,12.87,42.57,32.67,11.88
PS3,2014,Sports,0.1,0.2,0.22,0.06,0.58,3.45,12.87,42.57,32.67,11.88
XOne,2014,Sports,0.03,0.1,0.0,0.01,0.14,3.45,12.87,42.57,32.67,11.88
X360,2014,Sports,0.05,0.08,0.0,0.01,0.14,3.45,12.87,42.57,32.67,11.88
PC,2014,Sports,0.0,0.06,0.0,0.0,0.06,3.45,12.87,42.57,32.67,11.88
PS3,2009,Action,0.38,0.25,0.0,0.11,0.74,3.23,1.98,40.59,46.53,10.89
X360,2009,Action,0.37,0.2,0.0,0.06,0.63,3.23,1.98,40.59,46.53,10.89
DS,2009,Action,0.09,0.01,0.0,0.01,0.1,3.23,1.98,40.59,46.53,10.89
PC,2009,Action,0.0,0.02,0.0,0.0,0.02,3.23,1.98,40.59,46.53,10.89
PS2,2001,Racing,0.36,0.28,0.0,0.1,0.74,3.74,14.81,44.44,40.74,7.218181818181818
PS3,2011,Action,0.3,0.15,0.22,0.07,0.74,3.53,18.42,36.84,34.21,10.53
X360,2011,Action,0.3,0.12,0.03,0.04,0.49,3.53,18.42,36.84,34.21,10.53
X360,2008,Role-Playing,0.32,0.17,0.19,0.05,0.74,4.2,44.93,39.13,11.59,4.35
GBA,2003,Role-Playing,0.31,0.11,0.3,0.02,0.74,4.0,17.65,64.71,17.65,6.388571428571429
PS3,2010,Role-Playing,0.2,0.21,0.24,0.08,0.73,3.63,12.24,51.02,30.61,6.12
X360,2010,Role-Playing,0.12,0.13,0.06,0.03,0.33,3.63,12.24,51.02,30.61,6.12
DS,2008,Action,0.41,0.25,0.0,0.07,0.73,3.54,10.26,43.59,41.03,5.13
Wii,2008,Action,0.31,0.18,0.0,0.05,0.55,3.54,10.26,43.59,41.03,5.13
PS2,2008,Action,0.12,0.0,0.0,0.26,0.38,3.54,10.26,43.59,41.03,5.13
X360,2008,Action,0.12,0.1,0.0,0.03,0.25,3.54,10.26,43.59,41.03,5.13
PS3,2008,Action,0.12,0.08,0.0,0.03,0.23,3.54,10.26,43.59,41.03,5.13
PC,2008,Action,0.01,0.0,0.0,0.0,0.01,3.54,10.26,43.59,41.03,5.13
PS3,2007,Action,0.17,0.41,0.0,0.15,0.73,3.44,5.88,55.88,26.47,11.76
Wii,2007,Action,0.39,0.02,0.01,0.04,0.45,3.44,5.88,55.88,26.47,11.76
PSP,2007,Action,0.15,0.17,0.0,0.1,0.42,3.44,5.88,55.88,26.47,11.76
PS2,2007,Action,0.2,0.16,0.0,0.05,0.42,3.44,5.88,55.88,26.47,11.76
DS,2007,Action,0.3,0.01,0.01,0.03,0.34,3.44,5.88,55.88,26.47,11.76
X360,2007,Action,0.29,0.02,0.0,0.03,0.34,3.44,5.88,55.88,26.47,11.76
PS3,2010,Racing,0.31,0.3,0.01,0.11,0.73,3.92,20.52,60.69,14.16,4.62
X360,2010,Racing,0.32,0.23,0.0,0.06,0.6,3.92,20.52,60.69,14.16,4.62
PSP,2010,Racing,0.08,0.02,0.0,0.02,0.11,3.92,20.52,60.69,14.16,4.62
PC,2010,Racing,0.0,0.04,0.0,0.01,0.04,3.92,20.52,60.69,14.16,4.62
PS,1999,Platform,0.41,0.28,0.0,0.05,0.73,3.67,11.11,55.56,27.78,5.56
X360,2010,Sports,0.61,0.07,0.0,0.05,0.73,3.57,14.29,50.0,25.0,10.71
PS3,2010,Sports,0.4,0.12,0.0,0.07,0.59,3.57,14.29,50.0,25.0,10.71
XB,2004,Strategy,0.54,0.16,0.0,0.03,0.73,3.0,4.17,50.0,16.67,29.17
PS4,2016,Action,0.26,0.35,0.0,0.12,0.73,3.66,11.17,60.19,20.39,8.25
XOne,2016,Action,0.19,0.12,0.0,0.03,0.35,3.66,11.17,60.19,20.39,8.25
X360,2016,Action,0.18,0.11,0.0,0.03,0.32,3.66,11.17,60.19,20.39,8.25
PS3,2016,Action,0.1,0.12,0.0,0.04,0.27,3.66,11.17,60.19,20.39,8.25
WiiU,2016,Action,0.12,0.1,0.0,0.02,0.24,3.66,11.17,60.19,20.39,8.25
3DS,2016,Action,0.07,0.09,0.01,0.01,0.19,3.66,11.17,60.19,20.39,8.25
PSV,2016,Action,0.02,0.07,0.0,0.03,0.12,3.66,11.17,60.19,20.39,8.25
PS2,2004,Puzzle,0.47,0.02,0.17,0.08,0.73,4.35,57.33,30.67,6.67,5.33
PS2,2005,Action,0.6,0.02,0.0,0.1,0.72,4.17,30.49,61.43,5.38,2.69
XB,2005,Action,0.26,0.11,0.0,0.02,0.39,4.17,30.49,61.43,5.38,2.69
GC,2005,Action,0.29,0.07,0.0,0.01,0.37,4.17,30.49,61.43,5.38,2.69
GBA,2005,Action,0.22,0.08,0.0,0.01,0.3,4.17,30.49,61.43,5.38,2.69
DS,2005,Action,0.14,0.0,0.0,0.01,0.15,4.17,30.49,61.43,5.38,2.69
PS3,2012,Action,0.47,0.13,0.02,0.1,0.72,4.27,40.91,54.55,24.382624999999997,4.55
PC,2013,Strategy,0.12,0.53,0.0,0.07,0.72,4.09,33.96,45.28,18.87,1.89
PS2,2007,Sports,0.59,0.02,0.01,0.1,0.72,3.44,6.25,43.75,43.75,6.25
PS3,2007,Sports,0.56,0.02,0.01,0.05,0.63,3.44,6.25,43.75,43.75,6.25
X360,2007,Sports,0.47,0.0,0.0,0.04,0.52,3.44,6.25,43.75,43.75,6.25
PSP,2007,Sports,0.28,0.0,0.0,0.02,0.31,3.44,6.25,43.75,43.75,6.25
Wii,2007,Sports,0.14,0.0,0.0,0.01,0.16,3.44,6.25,43.75,43.75,6.25
PS2,2006,Sports,0.6,0.02,0.0,0.1,0.72,1.88,19.305277777777775,12.5,25.0,62.5
PS3,2006,Sports,0.31,0.12,0.0,0.07,0.5,1.88,15.696470588235297,12.5,25.0,62.5
X360,2006,Sports,0.44,0.0,0.0,0.04,0.48,1.88,16.787567567567567,12.5,25.0,62.5
PSP,2006,Sports,0.2,0.04,0.0,0.03,0.27,1.88,17.017407407407408,12.5,25.0,62.5
XB,2006,Sports,0.13,0.05,0.0,0.01,0.19,1.88,25.22684210526316,12.5,25.0,62.5
3DS,2014,Role-Playing,0.34,0.07,0.27,0.04,0.72,3.77,10.0,56.67,33.33,11.372499999999999
DS,2005,Platform,0.36,0.0,0.32,0.03,0.72,3.63,11.11,55.56,25.93,7.41
X360,2014,Shooter,0.46,0.19,0.01,0.07,0.72,3.55,11.31,51.87,27.15,9.67
PS3,2014,Shooter,0.26,0.21,0.05,0.1,0.61,3.55,11.31,51.87,27.15,9.67
PC,2014,Shooter,0.11,0.15,0.0,0.02,0.29,3.55,11.31,51.87,27.15,9.67
PS3,2010,Sports,0.66,0.0,0.0,0.06,0.72,3.0,9.09,54.55,27.783066666666667,36.36
PS2,2010,Sports,0.2,0.16,0.0,0.05,0.41,3.0,9.09,54.55,24.455405405405408,36.36
PSP,2010,Sports,0.19,0.0,0.0,0.02,0.21,3.0,9.09,54.55,23.500714285714285,36.36
PS3,2010,Racing,0.22,0.36,0.02,0.12,0.72,3.91,21.6,59.26,13.58,5.56
X360,2010,Racing,0.25,0.27,0.0,0.06,0.59,3.91,21.6,59.26,13.58,5.56
PC,2010,Racing,0.01,0.04,0.0,0.01,0.06,3.91,21.6,59.26,13.58,5.56
PC,2012,Strategy,0.27,0.36,0.0,0.08,0.71,4.2,38.65,49.27,8.81,3.27
X360,2012,Strategy,0.36,0.21,0.0,0.05,0.62,4.2,38.65,49.27,8.81,3.27
PS3,2012,Strategy,0.24,0.23,0.0,0.1,0.57,4.2,38.65,49.27,8.81,3.27
PC,2007,Shooter,0.0,0.69,0.0,0.02,0.71,4.0,25.32,56.06,15.47,3.15
PS,2000,Action,0.23,0.15,0.29,0.05,0.71,2.9,4.76,38.1,28.57,28.57
PS2,2003,Action,0.35,0.27,0.0,0.09,0.71,4.37,55.49,34.07,6.32,4.12
N64,1997,Action,0.39,0.09,0.17,0.06,0.71,3.94,31.25,43.75,18.75,6.25
N64,1999,Racing,0.51,0.18,0.0,0.01,0.71,4.0,26.67,51.11,20.0,2.22
PS,1999,Racing,0.2,0.14,0.0,0.02,0.36,4.0,26.67,51.11,20.0,2.22
SNES,1995,Role-Playing,0.0,0.0,0.71,0.0,0.71,4.41,72.41,10.34,10.34,6.9
X360,2008,Sports,0.65,0.0,0.0,0.05,0.71,3.23,23.08,23.08,30.77,23.08
PS3,2008,Sports,0.54,0.0,0.0,0.04,0.58,3.23,23.08,23.08,30.77,23.08
PS2,2008,Sports,0.4,0.02,0.0,0.07,0.48,3.23,23.08,23.08,30.77,23.08
PSP,2008,Sports,0.21,0.0,0.0,0.02,0.23,3.23,23.08,23.08,30.77,23.08
XB,2005,Shooter,0.53,0.15,0.0,0.03,0.71,3.81,11.61,63.39,22.32,2.68
PS3,2011,Adventure,0.3,0.14,0.2,0.06,0.7,4.16,36.62,49.68,10.28,3.43
X360,2011,Adventure,0.2,0.06,0.03,0.02,0.31,4.16,36.62,49.68,10.28,3.43
XB,2005,Role-Playing,0.48,0.19,0.0,0.03,0.7,4.23,40.91,40.91,18.18,5.15
X360,2008,Role-Playing,0.34,0.18,0.12,0.06,0.7,3.0,5.13,20.51,58.97,15.38
X360,2011,Sports,0.55,0.1,0.0,0.05,0.7,3.24,7.32,58.54,9.76,24.39
PS3,2011,Sports,0.36,0.15,0.0,0.07,0.58,3.24,7.32,58.54,9.76,24.39
GBA,2001,Strategy,0.5,0.19,0.0,0.01,0.7,4.42,54.05,39.19,4.05,2.7
PS2,2002,Shooter,0.34,0.27,0.0,0.09,0.7,4.35,56.25,31.25,8.33,4.17
XB,2002,Shooter,0.29,0.33,0.0,0.01,0.64,4.35,56.25,31.25,8.33,4.17
GC,2002,Shooter,0.34,0.09,0.0,0.01,0.44,4.35,56.25,31.25,8.33,4.17
PS3,2010,Shooter,0.18,0.36,0.02,0.13,0.7,3.37,4.84,46.77,38.71,9.68
X360,2010,Shooter,0.2,0.23,0.0,0.05,0.47,3.37,4.84,46.77,38.71,9.68
DS,2010,Shooter,0.05,0.01,0.0,0.0,0.06,3.37,4.84,46.77,38.71,9.68
PC,2010,Shooter,0.02,0.0,0.0,0.0,0.02,3.37,4.84,46.77,38.71,9.68
PS2,2005,Action,0.58,0.02,0.0,0.09,0.69,4.08,32.43,51.35,12.16,4.05
XB,2005,Action,0.23,0.07,0.0,0.01,0.31,4.08,32.43,51.35,12.16,4.05
PS3,2010,Action,0.19,0.36,0.01,0.12,0.69,3.62,9.39,51.64,34.74,4.23
X360,2010,Action,0.3,0.26,0.0,0.06,0.62,3.62,9.39,51.64,34.74,4.23
PSP,2010,Action,0.09,0.18,0.01,0.1,0.37,3.62,9.39,51.64,34.74,4.23
Wii,2010,Action,0.1,0.11,0.0,0.02,0.23,3.62,9.39,51.64,34.74,4.23
DS,2010,Action,0.14,0.01,0.0,0.01,0.15,3.62,9.39,51.64,34.74,4.23
PC,2010,Action,0.0,0.03,0.0,0.0,0.03,3.62,9.39,51.64,34.74,4.23
PS3,2011,Sports,0.17,0.39,0.0,0.13,0.69,4.54,53.85,46.15,27.783066666666667,19.377631578947366
X360,2011,Sports,0.15,0.22,0.0,0.04,0.41,4.54,53.85,46.15,27.279629629629632,19.442749999999997
Wii,2011,Sports,0.04,0.08,0.0,0.02,0.14,4.54,53.85,46.15,24.107499999999998,14.145925925925926
X360,2007,Action,0.54,0.09,0.0,0.06,0.68,3.3,8.51,34.04,46.81,10.64
PS2,2007,Action,0.4,0.02,0.0,0.07,0.48,3.3,8.51,34.04,46.81,10.64
PSP,2007,Action,0.08,0.15,0.0,0.09,0.31,3.3,8.51,34.04,46.81,10.64
Wii,2007,Action,0.25,0.01,0.0,0.02,0.28,3.3,8.51,34.04,46.81,10.64
PS2,2004,Role-Playing,0.34,0.26,0.0,0.09,0.68,3.89,27.78,44.44,22.22,5.56
XB,2004,Role-Playing,0.19,0.06,0.0,0.01,0.26,3.89,27.78,44.44,22.22,5.56
DS,2009,Simulation,0.42,0.2,0.0,0.06,0.68,0.0,17.80333333333333,33.33,66.67,6.426666666666667
Wii,2009,Simulation,0.4,0.15,0.0,0.05,0.6,0.0,13.83,33.33,66.67,10.53
PC,2009,Simulation,0.0,0.02,0.0,0.01,0.03,0.0,26.25880952380952,33.33,66.67,14.084444444444445
X360,2008,Role-Playing,0.25,0.2,0.18,0.06,0.68,3.23,7.04,44.37,30.99,17.61
PS,1997,Fighting,0.38,0.26,0.0,0.04,0.68,2.88,2.33,20.93,58.14,18.6
N64,1997,Fighting,0.32,0.07,0.0,0.0,0.4,2.88,2.33,20.93,58.14,18.6
PS3,2010,Platform,0.52,0.08,0.01,0.08,0.68,4.52,52.38,47.62,26.894761904761907,9.8775
PS4,2014,Shooter,0.24,0.34,0.0,0.11,0.68,3.53,7.73,53.22,31.33,7.73
XOne,2014,Shooter,0.2,0.11,0.0,0.03,0.35,3.53,7.73,53.22,31.33,7.73
X360,2014,Shooter,0.16,0.12,0.0,0.03,0.3,3.53,7.73,53.22,31.33,7.73
PS3,2014,Shooter,0.1,0.13,0.0,0.05,0.28,3.53,7.73,53.22,31.33,7.73
PS2,2005,Action,0.57,0.02,0.0,0.09,0.68,4.14,26.66,63.25,8.99,1.1
XB,2005,Action,0.33,0.22,0.0,0.03,0.58,4.14,26.66,63.25,8.99,1.1
GC,2005,Action,0.11,0.03,0.0,0.0,0.15,4.14,26.66,63.25,8.99,1.1
PS,1998,Role-Playing,0.15,0.1,0.38,0.04,0.68,4.34,69.35,14.52,6.45,9.68
PS3,2008,Action,0.32,0.25,0.0,0.11,0.68,2.61,8.05,16.09,40.23,35.63
PSP,2008,Action,0.46,0.09,0.0,0.09,0.63,2.61,8.05,16.09,40.23,35.63
Wii,2008,Action,0.3,0.22,0.0,0.06,0.59,2.61,8.05,16.09,40.23,35.63
X360,2008,Action,0.27,0.24,0.0,0.06,0.57,2.61,8.05,16.09,40.23,35.63
PS2,2008,Action,0.36,0.0,0.0,0.19,0.54,2.61,8.05,16.09,40.23,35.63
DS,2008,Action,0.35,0.12,0.0,0.05,0.51,2.61,8.05,16.09,40.23,35.63
PC,2011,Role-Playing,0.44,0.16,0.0,0.07,0.67,2.96,5.22,35.07,35.07,24.63
PS3,2012,Action,0.14,0.39,0.0,0.15,0.67,3.4,15.0,40.0,30.0,15.0
XB,2005,Shooter,0.48,0.17,0.0,0.02,0.67,4.16,36.21,51.58,8.42,3.79
PC,2005,Shooter,0.0,0.04,0.0,0.01,0.05,4.16,36.21,51.58,8.42,3.79
PC,2008,Strategy,0.01,0.64,0.0,0.02,0.67,3.99,21.15,61.63,14.8,2.42
X360,2008,Strategy,0.18,0.23,0.0,0.05,0.45,3.99,21.15,61.63,14.8,2.42
PS3,2006,Simulation,0.35,0.22,0.0,0.1,0.66,2.7,11.31,30.0,40.0,30.0
X360,2006,Simulation,0.36,0.02,0.0,0.03,0.42,2.7,15.116666666666667,30.0,40.0,30.0
XB,2006,Simulation,0.06,0.02,0.0,0.0,0.08,2.7,24.936666666666667,30.0,40.0,30.0
PC,2006,Simulation,0.02,0.0,0.0,0.0,0.02,2.7,26.25880952380952,30.0,40.0,30.0
PS4,2015,Racing,0.09,0.45,0.03,0.1,0.66,2.7,4.26,30.62,30.62,34.5
XOne,2015,Racing,0.08,0.15,0.0,0.02,0.25,2.7,4.26,30.62,30.62,34.5
PC,2015,Racing,0.0,0.05,0.0,0.0,0.05,2.7,4.26,30.62,30.62,34.5
PS3,2007,Shooter,0.2,0.33,0.0,0.13,0.66,4.03,27.91,52.91,16.28,2.91
X360,2007,Shooter,0.36,0.04,0.01,0.03,0.44,4.03,27.91,52.91,16.28,2.91
X360,2009,Sports,0.51,0.1,0.0,0.06,0.66,3.38,15.0,42.5,25.0,17.5
PS3,2009,Sports,0.38,0.12,0.0,0.07,0.57,3.38,15.0,42.5,25.0,17.5
X360,2012,Sports,0.51,0.1,0.0,0.05,0.66,3.05,2.7,54.05,16.22,27.03
PS3,2012,Sports,0.33,0.21,0.0,0.09,0.64,3.05,2.7,54.05,16.22,27.03
PC,2010,Strategy,0.02,0.53,0.0,0.12,0.66,3.66,15.82,53.67,20.9,9.6
WiiU,2013,Platform,0.25,0.33,0.03,0.05,0.66,4.16,36.39,50.51,9.32,3.78
PS3,2013,Platform,0.14,0.34,0.0,0.1,0.58,4.16,36.39,50.51,9.32,3.78
X360,2013,Platform,0.19,0.2,0.0,0.04,0.43,4.16,36.39,50.51,9.32,3.78
PS3,2012,Action,0.27,0.2,0.11,0.08,0.66,3.91,21.99,56.03,17.73,4.26
X360,2012,Action,0.31,0.12,0.02,0.04,0.48,3.91,21.99,56.03,17.73,4.26
PS3,2010,Action,0.06,0.03,0.55,0.01,0.66,0.0,19.683666666666667,45.52421383647799,25.0,75.0
X360,2010,Action,0.07,0.02,0.06,0.01,0.16,0.0,17.425405405405407,45.23469135802469,25.0,75.0
PS3,2013,Action,0.0,0.19,0.42,0.05,0.66,3.53,19.683666666666667,66.67,26.67,6.67
PSV,2013,Action,0.0,0.0,0.12,0.0,0.12,3.53,11.425454545454546,66.67,26.67,6.67
PSV,2014,Role-Playing,0.15,0.1,0.32,0.08,0.65,3.21,14.1,33.33,32.05,20.51
PS3,2013,Shooter,0.3,0.25,0.0,0.1,0.65,3.95,18.6,65.12,12.79,3.49
PS3,2008,Sports,0.31,0.23,0.01,0.1,0.65,3.63,21.05,42.11,26.32,10.53
PSP,2008,Sports,0.26,0.03,0.0,0.03,0.32,3.63,21.05,42.11,26.32,10.53
PS2,2008,Sports,0.15,0.12,0.0,0.04,0.31,3.63,21.05,42.11,26.32,10.53
DS,2008,Sports,0.21,0.0,0.0,0.02,0.23,3.63,21.05,42.11,26.32,10.53
GC,2003,Racing,0.41,0.11,0.12,0.02,0.65,4.41,62.75,23.53,9.8,3.92
GBA,2003,Strategy,0.47,0.17,0.0,0.01,0.65,4.44,59.38,31.25,6.25,3.12
PS2,2003,Role-Playing,0.19,0.15,0.26,0.05,0.65,3.31,7.14,45.24,33.33,14.29
PS2,2005,Action,0.54,0.02,0.0,0.09,0.65,2.83,2.09,20.94,56.02,20.94
GBA,2005,Action,0.44,0.16,0.0,0.01,0.61,2.83,2.09,20.94,56.02,20.94
GC,2005,Action,0.32,0.08,0.0,0.01,0.42,2.83,2.09,20.94,56.02,20.94
XB,2005,Action,0.18,0.05,0.0,0.01,0.23,2.83,2.09,20.94,56.02,20.94
DS,2005,Action,0.2,0.01,0.0,0.02,0.23,2.83,2.09,20.94,56.02,20.94
PSP,2005,Action,0.17,0.0,0.0,0.02,0.19,2.83,2.09,20.94,56.02,20.94
PC,2016,Simulation,0.03,0.58,0.0,0.04,0.65,3.7,12.5,60.0,20.0,7.5
PS4,2016,Simulation,0.05,0.31,0.0,0.06,0.41,3.7,12.5,60.0,20.0,7.5
XOne,2016,Simulation,0.04,0.07,0.0,0.01,0.12,3.7,12.5,60.0,20.0,7.5
PS2,2004,Platform,0.32,0.25,0.0,0.08,0.64,3.62,20.83,37.5,33.33,8.33
GC,2004,Platform,0.22,0.06,0.0,0.01,0.29,3.62,20.83,37.5,33.33,8.33
XB,2004,Platform,0.11,0.03,0.0,0.01,0.14,3.62,20.83,37.5,33.33,8.33
PS2,2003,Platform,0.31,0.24,0.0,0.08,0.64,3.23,10.26,48.72,17.95,23.08
XB,2003,Platform,0.15,0.04,0.0,0.01,0.21,3.23,10.26,48.72,17.95,23.08
GBA,2003,Platform,0.14,0.05,0.0,0.0,0.2,3.23,10.26,48.72,17.95,23.08
GC,2003,Platform,0.09,0.02,0.0,0.0,0.12,3.23,10.26,48.72,17.95,23.08
N64,1999,Platform,0.4,0.22,0.0,0.02,0.64,4.12,30.92,55.26,11.18,2.63
PC,2013,Sports,0.0,0.6,0.0,0.03,0.64,4.09,36.36,50.0,6.82,6.82
PSV,2013,Sports,0.0,0.08,0.0,0.02,0.1,4.09,36.36,50.0,6.82,6.82
PS2,2006,Action,0.15,0.12,0.34,0.04,0.64,4.0,23.81,61.9,9.52,4.76
PS3,2010,Action,0.17,0.04,0.4,0.02,0.64,3.72,27.78,38.89,22.22,11.11
Wii,2010,Action,0.06,0.01,0.2,0.01,0.29,3.72,27.78,38.89,22.22,11.11
PS4,2016,Action,0.22,0.32,0.0,0.1,0.64,4.26,42.45,46.18,8.84,2.53
XOne,2016,Action,0.12,0.08,0.0,0.02,0.22,4.26,42.45,46.18,8.84,2.53
PC,2016,Action,0.04,0.07,0.0,0.01,0.12,4.26,42.45,46.18,8.84,2.53
PS3,2012,Fighting,0.23,0.14,0.2,0.07,0.64,3.5,7.48,48.6,37.38,6.54
X360,2012,Fighting,0.19,0.08,0.03,0.03,0.32,3.5,7.48,48.6,37.38,6.54
PS2,2005,Role-Playing,0.53,0.02,0.0,0.09,0.63,4.13,30.16,58.73,7.94,3.17
XB,2005,Role-Playing,0.3,0.12,0.0,0.02,0.44,4.13,30.16,58.73,7.94,3.17
PSP,2005,Role-Playing,0.25,0.01,0.0,0.02,0.29,4.13,30.16,58.73,7.94,3.17
GC,2005,Role-Playing,0.19,0.05,0.0,0.01,0.25,4.13,30.16,58.73,7.94,3.17
PS,1997,Action,0.35,0.24,0.0,0.04,0.63,3.97,32.26,51.61,6.45,9.68
SNES,1991,Platform,0.32,0.05,0.25,0.01,0.63,4.19,36.26,50.55,10.99,2.2
X360,2007,Racing,0.22,0.34,0.0,0.07,0.63,3.18,15.511935483870968,28.95,65.79,5.26
PS2,2007,Racing,0.19,0.15,0.01,0.05,0.39,3.18,23.125416666666666,28.95,65.79,5.26
PSP,2007,Racing,0.06,0.2,0.0,0.11,0.37,3.18,19.872999999999998,28.95,65.79,5.26
PS3,2007,Racing,0.18,0.04,0.01,0.03,0.25,3.18,15.00103448275862,28.95,65.79,5.26
DS,2007,Racing,0.22,0.0,0.0,0.02,0.24,3.18,17.968333333333334,28.95,65.79,5.26
PC,2007,Racing,0.0,0.01,0.0,0.0,0.01,3.18,11.409583333333332,28.95,65.79,5.26
PS3,2009,Shooter,0.25,0.27,0.0,0.11,0.63,3.75,11.3,60.13,24.58,3.99
X360,2009,Shooter,0.28,0.22,0.0,0.06,0.56,3.75,11.3,60.13,24.58,3.99
PC,2009,Shooter,0.01,0.03,0.0,0.01,0.05,3.75,11.3,60.13,24.58,3.99
X360,2013,Shooter,0.46,0.11,0.0,0.05,0.63,2.23,2.86,11.43,38.57,47.14
PS3,2013,Shooter,0.28,0.15,0.0,0.08,0.51,2.23,2.86,11.43,38.57,47.14
WiiU,2013,Shooter,0.08,0.03,0.0,0.01,0.11,2.23,2.86,11.43,38.57,47.14
PS2,2007,Role-Playing,0.22,0.2,0.16,0.05,0.63,4.5,65.45,27.88,2.42,4.24
3DS,2012,Action,0.38,0.2,0.0,0.05,0.63,3.4,5.71,40.0,48.57,5.71
X360,2012,Action,0.18,0.05,0.0,0.02,0.26,3.4,5.71,40.0,48.57,5.71
PS3,2012,Action,0.12,0.02,0.0,0.03,0.16,3.4,5.71,40.0,48.57,5.71
X360,2008,Action,0.38,0.19,0.0,0.06,0.63,3.74,17.28,46.91,32.1,3.7
PS3,2008,Action,0.17,0.16,0.0,0.06,0.39,3.74,17.28,46.91,32.1,3.7
